10 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
N0,182901,180740,179313,169825,168840,174542,178671,175655,178531,179535,178863,178590,180343,179662,179531,179703,180394,180742,181651,180054,180374,180820,180517,180373,180481,180033,180998,180188,180210,180338,181047,179771,180238
"N(свинец, 1)",84807,86427,86987,87414,86975,87228,86712,87379,87719,87847,87829,87980,88120,88799,87830,,,,,,,,,,,,,,,,,,
"N(свинец, 2)",44061,44970,44672,44860,45240,45088,45766,45701,45568,45965,46471,46202,46764,46414,46546,,,,,,,,,,,,,,,,,,
"N(свинец, 3)",23700,23729,23563,24010,23711,23722,23866,24577,24445,24349,24442,23987,23871,24457,24711,,,,,,,,,,,,,,,,,,
"N(сталь, 1)",91365,90342,90632,90472,89690,88517,89060,89181,87801,89159,88783,88968,88683,87810,88483,,,,,,,,,,,,,,,,,,
"N(сталь, 2)",42652,42610,42646,42921,43014,43012,43235,42564,42259,43063,43292,43109,43026,43636,43224,,,,,,,,,,,,,,,,,,
"N(сталь, 3)",21867,21665,21551,21648,21990,21811,21734,21615,22226,21952,22006,21815,22067,22312,22307,,,,,,,,,,,,,,,,,,
"N(алюминий, 1)",104807,105246,104509,106071,105546,105900,105693,105520,106318,105753,104433,104768,105535,106395,105485,,,,,,,,,,,,,,,,,,
"N(алюминий, 2)",62032,62636,62366,61870,62326,62005,62462,63007,62606,63289,63519,63093,62867,63448,63225,,,,,,,,,,,,,,,,,,
"N(алюминий, 3)",37498,37648,37720,37780,38007,38111,37979,37914,37875,38366,38256,38290,38102,38346,38238,,,,,,,,,,,,,,,,,,
Фон,112,140,127,143,120,122,147,113,106,144,130,157,120,106,146,,,,,,,,,,,,,,,,,,
Погрешность штангенциркуля 0.01 см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Свинец 1, см",0.46,0.47,0.47,0.47,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Свинец 2, см",0.94,0.92,0.93,0.92,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Свинец 3, см",1.40,1.40,1.41,1.40,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сталь 1, см",1.01,1.01,1.01,1.02,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сталь 2, см",2.02,2.02,2.02,2.02,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сталь 3, см",3.05,3.03,3.04,3.03,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алюминий 1, см",2.00,2.01,2.00,2.00,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алюминий 2, см",4.00,4.00,4.00,4.00,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Алюминий 3, см",5.98,5.98,5.99,5.97,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
